Area,DiametroEquivalente,Excentricidad,Redondez,Compacidad
50836.0,254.4138469,0.76429307,0.748852801,0.709632072
62764.0,282.6899482,0.76429307,0.78280691,0.690823695
59965.0,276.3146925,0.860886225,0.762258937,0.710158928
39324.0,223.7607469,0.685325764,0.907866595,0.852356166
50654.0,253.95802,0.861467781,0.822090186,0.710901236
42293.0,232.0541318,0.769102925,0.88335914,0.798261304
36169.0,214.5968338,0.585478977,0.88335914,0.899940941
43156.0,234.4097391,0.76429307,0.890220198,0.810320469
39948.0,225.5290964,0.528488905,0.939267631,0.920642906
45893.0,241.7287373,0.76429307,0.82471085,0.733002256
38559.0,238.5768233,0.60787586,0.881878099,0.88925302
30706.0,238.5768233,0.710662517,0.932535595,0.837764519
33143.0,205.4238989,0.522480157,0.9906854,0.923144321
46757.0,243.9935683,0.774935692,0.853000929,0.792440756
47899.0,246.955261,0.790691234,0.882551942,0.778197834
36876.0,216.6840591,0.722128983,0.925328167,0.830145176
51408.0,255.8411588,0.688937967,0.860948432,0.850415721
35081.0,211.3445445,0.58409876,0.88335914,0.900122646
38435.0,221.2170018,0.74628939,0.88335914,0.814438753
46774.0,244.0379201,0.767021759,0.845613391,0.798282033
38277.0,220.7618401,0.786382181,0.903346367,0.785373555
30648.0,197.540491,0.629582528,0.953287125,0.880555625
45954.0,241.8893343,0.737766041,0.913547619,0.820462597
37231.0,217.7245542,0.754754462,0.885810653,0.808146444
38909.0,222.5769023,0.749609305,0.923468377,0.8128242
76161.0,311.4019861,0.847677476,0.807838852,0.722756615
66520.0,291.0255908,0.796770475,0.832009939,0.776218314
42464.0,232.5227817,0.802945783,0.854209458,0.770646095
67184.0,292.474487,0.76429307,0.865175603,0.783894202
36568.0,215.7772548,0.599969341,0.960926737,0.893886633
53505.0,261.0070532,0.873045825,0.79123824,0.695431792
38445.0,221.245778,0.462853547,0.969867184,0.940740691
29081.0,192.4242168,0.751959482,0.901769376,0.810884864
35117.0,211.4529572,0.785849075,0.89314942,0.783817804
37810.0,219.4110006,0.760825331,0.893816364,0.804303167
42450.0,232.4844482,0.89318608,0.777866749,0.668151831
32609.0,203.7622838,0.694681885,0.916456754,0.847012258
61076.0,238.5768233,0.893735059,0.794389513,0.667975087
32062.0,202.0460499,0.667910598,0.909529757,0.859335398
28058.0,189.0094049,0.764595865,0.914197472,0.801464234
70925.0,300.5070959,0.785994358,0.807921649,0.78506667
64979.0,287.6348942,0.873687391,0.765762778,0.696073155
49640.0,238.5768233,0.843650472,0.804029962,0.730435681
31498.0,200.2610775,0.794884731,0.862950406,0.777723182
53171.0,238.5768233,0.86094728,0.88335914,0.710475176
68451.0,295.2194439,0.805528886,0.856680098,0.76701573
75351.0,309.7416229,0.816066202,0.789343462,0.758410963
44983.0,238.5768233,0.736906549,0.914538818,0.821515838
56048.0,267.1376611,0.836631764,0.826656675,0.738566712
30917.0,238.5768233,0.693039788,0.930932028,0.848096877
33849.0,207.6003019,0.773405109,0.880498479,0.79134505
42668.0,233.0806403,0.748419538,0.88335914,0.813555802
51207.0,255.3405126,0.854897222,0.826971899,0.71785328
29651.0,194.300864,0.773065948,0.905463152,0.795115809
50683.0,254.0307065,0.76429307,0.776790492,0.806606515
68552.0,295.437163,0.815388241,0.836580224,0.75667454
39581.0,224.4907446,0.44029196,0.965821047,0.947163842
43844.0,236.2708501,0.872227774,0.806871886,0.697160478
62646.0,282.4240863,0.818892622,0.864082053,0.753680332
34053.0,208.2249414,0.76429307,0.948783552,0.895837186
73147.0,305.1780677,0.835884634,0.88335914,0.737165384
64410.0,286.3727625,0.791438379,0.88335914,0.8012038345
43098.0,234.2521673,0.774450243,0.893049071,0.8012038345
34060.0,208.2463418,0.449779934,0.976218398,0.944691865
38744.0,238.5768233,0.768829693,0.910914017,0.79885706
56413.0,268.0060866,0.862794185,0.820555624,0.709234393
45010.0,238.5768233,0.773807747,0.879154276,0.793208194
40318.0,226.571119,0.754828902,0.885146597,0.808016543
66235.0,290.4014829,0.823788506,0.862859319,0.750150346
76163.0,311.4060748,0.703568986,0.840034394,0.841610934
65757.0,289.3517111,0.837288479,0.830330831,0.737489737
47174.0,245.0791755,0.744471743,0.907437749,0.815664342
42927.0,238.5768233,0.591177056,0.955395065,0.897395267
56476.0,268.1556946,0.873859644,0.746787965,0.695880379
48324.0,248.0484383,0.653488405,0.9205147,0.869187379
47248.0,245.2713233,0.878082143,0.797851428,0.689324247
52385.0,238.5768233,0.772614181,0.898256328,0.794237882
78375.0,315.8957887,0.671610713,0.865733572,0.858529285
66693.0,291.4037834,0.793049068,0.863056921,0.779347418
39141.0,223.239488,0.595278786,0.88335914,0.895961466
62296.0,281.6340368,0.825979979,0.831455795,0.748963313
55327.0,238.5768233,0.744366419,0.8860535,0.815803654
43360.0,234.9631177,0.741249965,0.895494996,0.814077073
28018.0,188.8746292,0.737301213,0.907805945,0.819888535
62157.0,281.3196587,0.88094072,0.804751292,0.686775923
79038.0,317.2291083,0.80778157,0.789077579,0.765644818
36681.0,216.1103879,0.725827926,0.917075551,0.828450931
38702.0,221.9840464,0.628689445,0.952389981,0.881217912
42504.0,232.6322712,0.819941745,0.867076644,0.755427574
48230.0,247.8070686,0.756444021,0.886824239,0.805926131
42772.0,233.3645256,0.658960173,0.88335914,0.866316909
43925.0,236.4889997,0.753793433,0.92115584,0.809219934
39470.0,224.1757454,0.76429307,0.924398774,0.819401616
48906.0,238.5768233,0.778886916,0.896235561,0.790886062
43334.0,234.8926615,0.605135819,0.963427372,0.891472838
42795.0,233.4272613,0.725052071,0.912453544,0.827631678
32952.0,204.8311243,0.735539133,0.81235813,0.821276114
57995.0,271.7379756,0.707577968,0.844240433,0.837225395
44524.0,238.0960258,0.76429307,0.972797125,0.919586776
